piezo amplitude phase
4.016346000E-08 2.575309218E-08 -9.010986412E+01
4.010204798E-08 2.576192383E-08 -9.021423503E+01
4.004063596E-08 2.574426053E-08 -9.010986412E+01
3.997922394E-08 2.576744361E-08 -9.001647962E+01
3.991781192E-08 2.580277021E-08 -9.000000000E+01
3.985639991E-08 2.577075548E-08 -8.997253397E+01
3.979498789E-08 2.575530009E-08 -8.996154756E+01
3.973357587E-08 2.573432492E-08 -8.990112229E+01
3.967216385E-08 2.575640405E-08 -8.999450679E+01
3.961075183E-08 2.580277021E-08 -8.998901359E+01
3.954933981E-08 2.577958713E-08 -9.004394565E+01
3.948792780E-08 2.571666162E-08 -9.010437091E+01
3.942651578E-08 2.572549327E-08 -9.000000000E+01
3.936510376E-08 2.573432492E-08 -8.991760191E+01
3.930369174E-08 2.573211701E-08 -8.991210870E+01
3.924227972E-08 2.574205262E-08 -8.995056115E+01
3.918086770E-08 2.577406735E-08 -9.000549321E+01
3.911945569E-08 2.573432492E-08 -9.001098641E+01
3.905804367E-08 2.573101305E-08 -9.000549321E+01
3.899663165E-08 2.572328536E-08 -9.007690488E+01
3.893521963E-08 2.571334975E-08 -9.009887771E+01
3.887380761E-08 2.570672602E-08 -9.011535733E+01
3.881239559E-08 2.572770119E-08 -9.002197282E+01
3.875098358E-08 2.573101305E-08 -8.992858832E+01
3.868957156E-08 2.573542888E-08 -8.994506794E+01
3.862815954E-08 2.578510691E-08 -8.998901359E+01
3.856674752E-08 2.576744361E-08 -9.004394565E+01
3.850533550E-08 2.574646844E-08 -8.995605435E+01
3.844392348E-08 2.571334975E-08 -8.992858832E+01
3.838251147E-08 2.571114184E-08 -9.004943885E+01
3.832109945E-08 2.568354293E-08 -9.005493206E+01
3.825968743E-08 2.575088427E-08 -9.015930297E+01
3.819827541E-08 2.571997349E-08 -9.004943885E+01
3.813686339E-08 2.570231019E-08 -9.010986412E+01
3.807545137E-08 2.570893393E-08 -9.004943885E+01
3.801403936E-08 2.570451810E-08 -9.004943885E+01
3.795262734E-08 2.569568645E-08 -9.008789130E+01
3.789121532E-08 2.576523570E-08 -9.008789130E+01
3.782980330E-08 2.572218140E-08 -9.007141168E+01
3.776839128E-08 2.569568645E-08 -8.999450679E+01
3.770697926E-08 2.572880514E-08 -9.001647962E+01
3.764556725E-08 2.575088427E-08 -8.990661550E+01
3.758415523E-08 2.575750800E-08 -8.994506794E+01
3.752274321E-08 2.576854757E-08 -8.991760191E+01
3.746133119E-08 2.576302779E-08 -8.992858832E+01
3.739991917E-08 2.573101305E-08 -9.003295924E+01
3.733850715E-08 2.575861196E-08 -8.996154756E+01
3.727709514E-08 2.572770119E-08 -8.997802718E+01
3.721568312E-08 2.574205262E-08 -8.998901359E+01
3.715427110E-08 2.572770119E-08 -9.008239809E+01
3.709285908E-08 2.572107745E-08 -9.003295924E+01
3.703144706E-08 2.571445371E-08 -9.008789130E+01
3.697003504E-08 2.571886953E-08 -9.015930297E+01
3.690862303E-08 2.572990910E-08 -9.012085053E+01
3.684721101E-08 2.571334975E-08 -9.008239809E+01
3.678579899E-08 2.573542888E-08 -9.007141168E+01
3.672438697E-08 2.572990910E-08 -9.009887771E+01
3.666297495E-08 2.570010228E-08 -9.008789130E+01
3.660156293E-08 2.570341415E-08 -9.004943885E+01
3.654015092E-08 2.569899832E-08 -9.003845244E+01
3.647873890E-08 2.575309218E-08 -9.006042527E+01
3.641732688E-08 2.572770119E-08 -8.996704076E+01
3.635591486E-08 2.574978031E-08 -9.001647962E+01
3.629450284E-08 2.577848317E-08 -9.001647962E+01
3.623309082E-08 2.579173065E-08 -9.007690488E+01
3.617167881E-08 2.574205262E-08 -9.016479618E+01
3.611026679E-08 2.571445371E-08 -9.012085053E+01
3.604885477E-08 2.569789437E-08 -9.006591847E+01
3.598744275E-08 2.575419614E-08 -9.004943885E+01
3.592603073E-08 2.578400296E-08 -9.009338450E+01
3.586461871E-08 2.576523570E-08 -9.002197282E+01
3.580320670E-08 2.579283461E-08 -9.001647962E+01
3.574179468E-08 2.579725043E-08 -9.002746603E+01
3.568038266E-08 2.576523570E-08 -8.999450679E+01
3.561897064E-08 2.574426053E-08 -9.000549321E+01
3.555755862E-08 2.568795876E-08 -9.000000000E+01
3.549614660E-08 2.569458250E-08 -8.997253397E+01
3.543473459E-08 2.573874075E-08 -9.000549321E+01
3.537332257E-08 2.572990910E-08 -9.000549321E+01
3.531191055E-08 2.577185944E-08 -8.989562909E+01
3.525049853E-08 2.572549327E-08 -9.003845244E+01
3.518908651E-08 2.575750800E-08 -9.004943885E+01
3.512767449E-08 2.570893393E-08 -9.003295924E+01
3.506626248E-08 2.568795876E-08 -9.001647962E+01
3.500485046E-08 2.569237458E-08 -9.006591847E+01
3.494343844E-08 2.571776558E-08 -9.012634374E+01
3.488202642E-08 2.572107745E-08 -9.000549321E+01
3.482061440E-08 2.573984470E-08 -9.003295924E+01
3.475920238E-08 2.571224580E-08 -8.993957473E+01
3.469779037E-08 2.569568645E-08 -8.996704076E+01
3.463637835E-08 2.568354293E-08 -8.998352038E+01
3.457496633E-08 2.568685480E-08 -9.001098641E+01
3.451355431E-08 2.571003788E-08 -9.005493206E+01
3.445214229E-08 2.571114184E-08 -9.006042527E+01
3.439073027E-08 2.573763679E-08 -9.001098641E+01
3.432931826E-08 2.578952274E-08 -9.006042527E+01
3.426790624E-08 2.577075548E-08 -8.998901359E+01
3.420649422E-08 2.574978031E-08 -9.009338450E+01
3.414508220E-08 2.577296339E-08 -9.009887771E+01
3.408367018E-08 2.575530009E-08 -9.015930297E+01
3.402225816E-08 2.579173065E-08 -9.012634374E+01
3.396084614E-08 2.576633966E-08 -9.019775542E+01
3.389943413E-08 2.572107745E-08 -9.015380977E+01
3.383802211E-08 2.569899832E-08 -9.009887771E+01
3.377661009E-08 2.570562206E-08 -9.009887771E+01
3.371519807E-08 2.574094866E-08 -9.006591847E+01
3.365378605E-08 2.573322097E-08 -8.996704076E+01
3.359237403E-08 2.575198822E-08 -8.998352038E+01
3.353096202E-08 2.576744361E-08 -9.003295924E+01
3.346955000E-08 2.572107745E-08 -9.007690488E+01
3.340813798E-08 2.572659723E-08 -9.001098641E+01
3.334672596E-08 2.573432492E-08 -9.005493206E+01
3.328531394E-08 2.574757240E-08 -8.998352038E+01
3.322390192E-08 2.574094866E-08 -9.002746603E+01
3.316248991E-08 2.573763679E-08 -9.003845244E+01
3.310107789E-08 2.573763679E-08 -9.006042527E+01
3.303966587E-08 2.575309218E-08 -9.001098641E+01
3.297825385E-08 2.573432492E-08 -9.003295924E+01
3.291684183E-08 2.573322097E-08 -8.991760191E+01
3.285542981E-08 2.570672602E-08 -8.998352038E+01
3.279401780E-08 2.569789437E-08 -9.003845244E+01
3.273260578E-08 2.571003788E-08 -9.009887771E+01
3.267119376E-08 2.572328536E-08 -9.001647962E+01
3.260978174E-08 2.572990910E-08 -8.999450679E+01
3.254836972E-08 2.569347854E-08 -9.010986412E+01
3.248695770E-08 2.571003788E-08 -9.006042527E+01
3.242554569E-08 2.571555767E-08 -9.006042527E+01
3.236413367E-08 2.572880514E-08 -8.999450679E+01
3.230272165E-08 2.572218140E-08 -8.996154756E+01
3.224130963E-08 2.579283461E-08 -8.993957473E+01
3.217989761E-08 2.573874075E-08 -9.001647962E+01
3.211848559E-08 2.573653284E-08 -8.998901359E+01
3.205707358E-08 2.573211701E-08 -8.991210870E+01
3.199566156E-08 2.571224580E-08 -8.986266985E+01
3.193424954E-08 2.568133502E-08 -8.998352038E+01
3.187283752E-08 2.571224580E-08 -8.997802718E+01
3.181142550E-08 2.572770119E-08 -8.993957473E+01
3.175001348E-08 2.575309218E-08 -8.995056115E+01
3.168860147E-08 2.574205262E-08 -8.998901359E+01
3.162718945E-08 2.573542888E-08 -8.996154756E+01
3.156577743E-08 2.572880514E-08 -8.993957473E+01
3.150436541E-08 2.570010228E-08 -9.004394565E+01
3.144295339E-08 2.569347854E-08 -8.998901359E+01
3.138154137E-08 2.568243898E-08 -9.004394565E+01
3.132012936E-08 2.569679041E-08 -8.999450679E+01
3.125871734E-08 2.571003788E-08 -9.007690488E+01
3.119730532E-08 2.571003788E-08 -9.012085053E+01
3.113589330E-08 2.571997349E-08 -9.019775542E+01
3.107448128E-08 2.567912711E-08 -9.008239809E+01
3.101306926E-08 2.567581524E-08 -9.008789130E+01
3.095165725E-08 2.572549327E-08 -9.012634374E+01
3.089024523E-08 2.569016667E-08 -9.005493206E+01
3.082883321E-08 2.569016667E-08 -9.006591847E+01
3.076742119E-08 2.570341415E-08 -9.004394565E+01
3.070600917E-08 2.570120623E-08 -8.998901359E+01
3.064459715E-08 2.566367172E-08 -8.998352038E+01
3.058318514E-08 2.568575085E-08 -8.991210870E+01
3.052177312E-08 2.570893393E-08 -9.001098641E+01
3.046036110E-08 2.572107745E-08 -9.000000000E+01
3.039894908E-08 2.575971592E-08 -9.008239809E+01
3.033753706E-08 2.579393856E-08 -9.005493206E+01
3.027612504E-08 2.575530009E-08 -8.999450679E+01
3.021471303E-08 2.572549327E-08 -9.003845244E+01
3.015330101E-08 2.571114184E-08 -9.012085053E+01
3.009188899E-08 2.570672602E-08 -8.997802718E+01
3.003047697E-08 2.569016667E-08 -8.985168344E+01
2.996906495E-08 2.576854757E-08 -8.985168344E+01
2.990765293E-08 2.572438932E-08 -9.000549321E+01
2.984624092E-08 2.576192383E-08 -9.004943885E+01
2.978482890E-08 2.572990910E-08 -9.011535733E+01
2.972341688E-08 2.571555767E-08 -9.010437091E+01
2.966200486E-08 2.570562206E-08 -9.014282336E+01
2.960059284E-08 2.569568645E-08 -9.006042527E+01
2.953918082E-08 2.576081987E-08 -9.007141168E+01
2.947776881E-08 2.574094866E-08 -9.003845244E+01
2.941635679E-08 2.578731482E-08 -8.998901359E+01
2.935494477E-08 2.573874075E-08 -9.002197282E+01
2.929353275E-08 2.577185944E-08 -9.000549321E+01
2.923212073E-08 2.578289900E-08 -9.007141168E+01
2.917070871E-08 2.576965152E-08 -9.004394565E+01
2.910929670E-08 2.572549327E-08 -8.997802718E+01
2.904788468E-08 2.571445371E-08 -9.002746603E+01
2.898647266E-08 2.574978031E-08 -9.004394565E+01
2.892506064E-08 2.574315657E-08 -9.004394565E+01
2.886364862E-08 2.576081987E-08 -9.000000000E+01
2.880223660E-08 2.578952274E-08 -9.013733015E+01
2.874082459E-08 2.577737922E-08 -9.012085053E+01
2.867941257E-08 2.575088427E-08 -9.003295924E+01
2.861800055E-08 2.570451810E-08 -8.996704076E+01
2.855658853E-08 2.573653284E-08 -8.993957473E+01
2.849517651E-08 2.573874075E-08 -9.000000000E+01
2.843376449E-08 2.576081987E-08 -9.002746603E+01
2.837235248E-08 2.573984470E-08 -9.010437091E+01
2.831094046E-08 2.570782997E-08 -9.002197282E+01
2.824952844E-08 2.568023106E-08 -8.997253397E+01
2.818811642E-08 2.568906272E-08 -8.995056115E+01
2.812670440E-08 2.571886953E-08 -9.007141168E+01
2.806529238E-08 2.574757240E-08 -8.991760191E+01
2.800388037E-08 2.575861196E-08 -9.002746603E+01
2.794246835E-08 2.571224580E-08 -9.010437091E+01
2.788105633E-08 2.571114184E-08 -9.017028939E+01
2.781964431E-08 2.574205262E-08 -9.003295924E+01
2.775823229E-08 2.573653284E-08 -9.001647962E+01
2.769682027E-08 2.576081987E-08 -9.006591847E+01
2.763540826E-08 2.576523570E-08 -9.004943885E+01
2.757399624E-08 2.573211701E-08 -9.006591847E+01
2.751258422E-08 2.575971592E-08 -9.013733015E+01
2.745117220E-08 2.575309218E-08 -9.018127580E+01
2.738976018E-08 2.579614647E-08 -9.000549321E+01
2.732834816E-08 2.578841878E-08 -9.007141168E+01
2.726693615E-08 2.575971592E-08 -9.004394565E+01
2.720552413E-08 2.577627526E-08 -9.002746603E+01
2.714411211E-08 2.576523570E-08 -9.002746603E+01
2.708270009E-08 2.571997349E-08 -9.011535733E+01
2.702128807E-08 2.573763679E-08 -9.005493206E+01
2.695987605E-08 2.572107745E-08 -9.004943885E+01
2.689846404E-08 2.568575085E-08 -9.009887771E+01
2.683705202E-08 2.568243898E-08 -9.010986412E+01
2.677564000E-08 2.569237458E-08 -9.011535733E+01
2.671422798E-08 2.572328536E-08 -9.008239809E+01
2.665281596E-08 2.574757240E-08 -9.011535733E+01
2.659140394E-08 2.577296339E-08 -9.006591847E+01
2.652999193E-08 2.572107745E-08 -9.006591847E+01
2.646857991E-08 2.571666162E-08 -9.011535733E+01
2.640716789E-08 2.569127063E-08 -9.012634374E+01
2.634575587E-08 2.571114184E-08 -9.000549321E+01
2.628434385E-08 2.570782997E-08 -9.003295924E+01
2.622293183E-08 2.571776558E-08 -9.008239809E+01
2.616151982E-08 2.572218140E-08 -9.012085053E+01
2.610010780E-08 2.568685480E-08 -9.012634374E+01
2.603869578E-08 2.571997349E-08 -9.014831656E+01
2.597728376E-08 2.573763679E-08 -9.013733015E+01
2.591587174E-08 2.571003788E-08 -9.001647962E+01
2.585445972E-08 2.576523570E-08 -9.000000000E+01
2.579304771E-08 2.573432492E-08 -9.009338450E+01
2.573163569E-08 2.575861196E-08 -9.002197282E+01
2.567022367E-08 2.577958713E-08 -9.004394565E+01
2.560881165E-08 2.575750800E-08 -9.003295924E+01
2.554739963E-08 2.572438932E-08 -9.007141168E+01
2.548598761E-08 2.570562206E-08 -9.010437091E+01
2.542457559E-08 2.569789437E-08 -9.005493206E+01
2.536316358E-08 2.571445371E-08 -9.013733015E+01
