piezo amplitude phase
2.726694E-08 2.575972E-08 -9.004395E+01
2.720552E-08 2.577628E-08 -9.002747E+01
2.714411E-08 2.576524E-08 -9.002747E+01
2.708270E-08 2.571997E-08 -9.011536E+01
2.702129E-08 2.573764E-08 -9.005493E+01
2.695988E-08 2.572108E-08 -9.004944E+01
2.689846E-08 2.568575E-08 -9.009888E+01
2.683705E-08 2.568244E-08 -9.010986E+01
2.677564E-08 2.569237E-08 -9.011536E+01
2.671423E-08 2.572329E-08 -9.008240E+01
2.665282E-08 2.574757E-08 -9.011536E+01
2.659140E-08 2.577296E-08 -9.006592E+01
2.652999E-08 2.572108E-08 -9.006592E+01
2.646858E-08 2.571666E-08 -9.011536E+01
2.640717E-08 2.569127E-08 -9.012634E+01
2.634576E-08 2.571114E-08 -9.000549E+01
2.628434E-08 2.570783E-08 -9.003296E+01
2.622293E-08 2.571777E-08 -9.008240E+01
2.616152E-08 2.572218E-08 -9.012085E+01
2.610011E-08 2.568685E-08 -9.012634E+01
2.603870E-08 2.571997E-08 -9.014832E+01
2.597728E-08 2.573764E-08 -9.013733E+01
2.591587E-08 2.571004E-08 -9.001648E+01
2.585446E-08 2.576524E-08 -9.000000E+01
2.579305E-08 2.573432E-08 -9.009338E+01
2.573164E-08 2.575861E-08 -9.002197E+01
2.567022E-08 2.577959E-08 -9.004395E+01
2.560881E-08 2.575751E-08 -9.003296E+01
2.554740E-08 2.572439E-08 -9.007141E+01
2.548599E-08 2.570562E-08 -9.010437E+01
2.542458E-08 2.569789E-08 -9.005493E+01
2.536316E-08 2.571445E-08 -9.013733E+01
2.530175E-08 2.572881E-08 -9.008789E+01
2.524034E-08 2.571225E-08 -9.003296E+01
2.517893E-08 2.572881E-08 -9.012634E+01
2.511752E-08 2.574426E-08 -9.013733E+01
2.505610E-08 2.577738E-08 -9.016480E+01
2.499469E-08 2.575972E-08 -9.002197E+01
2.493328E-08 2.574868E-08 -9.008789E+01
2.487187E-08 2.575088E-08 -9.007141E+01
2.481046E-08 2.573543E-08 -9.012085E+01
2.474904E-08 2.574868E-08 -9.004944E+01
2.468763E-08 2.572770E-08 -9.004944E+01
2.462622E-08 2.571114E-08 -9.006592E+01
2.456481E-08 2.569569E-08 -9.010986E+01
2.450340E-08 2.572329E-08 -9.014832E+01
2.444198E-08 2.569789E-08 -9.009338E+01
2.438057E-08 2.572218E-08 -9.014832E+01
2.431916E-08 2.570231E-08 -9.019776E+01
2.425775E-08 2.569348E-08 -9.014282E+01
2.419634E-08 2.569789E-08 -9.012634E+01
